ID Next,Nombre,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_004242,Genesis Base RF-80 Rubber Suction Cup Feet,5901698714192,0713623300,https://www.foto24.com/puntas-de-acero-y-goma-genesis-rf-80.html,https://www.photo24.fr/pointes-en-acier-et-caoutchouc-genesis-rf-80.html,14.99,Genesis
FT_004091,Genesis Base Spikes,5901698710897,0713623301,https://www.foto24.com/puntas-acero-y-goma-genesis-spikes.html,https://www.photo24.fr/pointes-en-acier-et-caoutchouc-genesis-spikes.html,54.99,Genesis
FT_004535,Genesis Base ABT Kit Grey,5901698714796,0713633150,https://www.foto24.com/kit-genesis-base-tripode-abt-rotula-abh-36-gris.html,https://www.photo24.fr/kit-genesis-trepied-abt-rotule-abh-36-gris.html,69.99,Genesis
FT_004443,Genesis Base Mini ABT Kit green,5901698714550,0713633151,https://www.foto24.com/mini-tripode-genesis-base-abt-verde.html,https://www.photo24.fr/mini-trepied-genesis-base-abt-vert.html,64.99,Genesis
FT_004569,Genesis Base Mini ABT Kit grey,5901698714802,0713932098,https://www.foto24.com/mini-tripode-genesis-base-abt-gris.html,https://www.photo24.fr/mini-trepied-genesis-base-abt-gris.html,64.99,Genesis
FT_004570,Genesis Base CVT-10 + VF-6.0 Video Kit,5901698714833,0713988387,https://www.foto24.com/kit-video-genesis-cvt-10-cabezal-vf-6-0.html,https://www.photo24.fr/kit-video-genesis-cvt-10-rotule-vf-6-0.html,169.99,Genesis
FT_003364,Genesis UNI Baseplate System,5901698713201,0716432092,https://www.foto24.com/sistema-de-montura-y-barras-genesis-uni-baseplate.html,https://www.photo24.fr/systeme-de-monture-et-barres-genesis-uni-baseplate.html,72.99,Genesis
FT_004730,Genesis Base PLL-A6500 L- Type Plate,5901698716660,0716449865,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pll-a6500-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-base-pll-a6500-type-l.html,39.99,Genesis
FT_004773,Genesis Base PLL-A9 Plate,5901698716769,0716449866,https://www.foto24.com/placa-de-liberacion-rapida-genesis-base-pll-a9-tipo-l.html,https://www.photo24.fr/plaque-rapide-genesis-base-pll-a9-type-l.html,39.99,Genesis
FT_004536,Genesis Base PLL-D500 L-Type Plate,5901698714826,0716449867,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-d500-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d500-type-l.html,39.99,Genesis
FT_004774,Genesis Base PLL-D7500 L Plate,5901698716776,0716449868,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-d7500-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d7500-type-l.html,39.99,Genesis
FT_004776,Genesis Base PLL-D850 L-Plate,5901698716790,0716449869,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-d850-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d850-type-l.html,39.99,Genesis
FT_004726,Genesis Base PLL-GH4 L- Type Plate,5901698716622,0716449870,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-gh4-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-gh4-type-l.html,39.99,Genesis
FT_004775,Genesis Base PLL-GH5 Plate,5901698716783,0716449871,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-gh5-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-gh5-type-l.html,39.99,Genesis
FT_004731,Genesis Base PLL-X100F L- Type Plate,5901698716677,0716449872,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-x100f-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-x100f-type-l.html,39.99,Genesis
FT_004729,Genesis Base PLL-XT2 L-Type Plate,5901698716653,0716449873,https://www.foto24.com/plato-de-liberacion-genesis-pll-xt2-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-xt2-type-l.html,39.99,Genesis
FT_004732,Genesis Base PLL-XT20 L- Type Plate,5901698716684,0716449874,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-xt20-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-xt20-type-l.html,39.99,Genesis
FT_004537,Genesis Base PLL-K1 L-Type Plate,5901698714819,0716449875,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-k1-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-k1-type-l.html,39.99,Genesis
FT_004772,Genesis Base PLL-77D Plate,5901698716752,0721375574,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pll-77d.html,https://www.photo24.fr/plateau-rapide-genesis-base-pll-77d.html,39.99,Genesis
,Punta de acero Genesis ZC standard para las series C y A,,0722857028,https://www.foto24.com/punta-de-acero-genesis-zc-standard-para-las-series-c-y-a.html,https://www.photo24.fr/pointe-en-acier-genesis-zc-standard-pour-les-series-c-et-a.html,9.99,Genesis
,Pie de goma Genesis ZC standard para trĂ­podes C5 y A5,,0722857029,https://www.foto24.com/pie-de-goma-genesis-zc-standard-para-tripodes-c5-y-a5.html,https://www.photo24.fr/pied-en-caoutchouc-genesis-zc-standard-pour-trepieds-c5-et-a5.html,5.99,Genesis
FT_003361,Genesis Magic Arm 7.0,5901698713096,0723342689,https://www.foto24.com/brazo-genesis-gear-magic-7-0.html,https://www.photo24.fr/bras-genesis-gear-magic-7-0.html,39.99,Genesis
FT_003362,Genesis Magic Arm 11.0,5901698713102,0723342690,https://www.foto24.com/brazo-genesis-gear-magic-11-0.html,https://www.photo24.fr/bras-genesis-gear-magic-11-0.html,47.99,Genesis
FT_004503,Genesis Denali Orange backpack,5901698714697,0723342691,https://www.foto24.com/genesis-gear-denali-mochila-fotografica-naranja.html,https://www.photo24.fr/genesis-gear-denali-sac-a-dos-photo-orange.html,66.99,Genesis
FT_004504,Genesis Denali Grey backpack,5901698714703,0723342692,https://www.foto24.com/genesis-gear-denali-mochila-fotografica-gris.html,https://www.photo24.fr/genesis-gear-denali-sac-a-dos-photo-gris.html,66.99,Genesis
FT_004505,Genesis Denali Green backpack,5901698714710,0723342693,https://www.foto24.com/genesis-gear-denali-mochila-fotografica-verde.html,https://www.photo24.fr/genesis-gear-denali-sac-a-dos-vert.html,66.99,Genesis
FT_003690,Genesis Tacit S gray,5901698710477,0723342694,https://www.foto24.com/genesis-gear-tacit-bolsa-fotografica-s-gris.html,https://www.photo24.fr/genesis-gear-tacit-sac-photo-s-gris.html,14.99,Genesis
FT_003689,Genesis Tacit M gray,5901698710484,0723342695,https://www.foto24.com/genesis-gear-tacit-bolsa-fotografica-m-gris.html,https://www.photo24.fr/genesis-gear-tacit-sac-photo-m-gris.html,24.99,Genesis
FT_004723,Genesis Tacit L Gray,5901698716592,0723342696,https://www.foto24.com/genesis-gear-tacit-bolsa-fotografica-l-gris.html,https://www.photo24.fr/genesis-gear-tacit-sac-photo-l-gris.html,41.99,Genesis
FT_004779,Genesis Base GMR-150 Macro Rail,5901698716813,0726166523,https://www.foto24.com/rail-de-precision-para-macro-genesis-gmr-150.html,https://www.photo24.fr/rail-de-precision-macro-genesis-gmr-150.html,131.99,Genesis
FT_005136,Genesis Gear Orion olive bag,5901698718084,C00084,https://www.foto24.com/genesis-gear-orion-bolsa-fotografica.html,https://www.photo24.fr/genesis-gear-orion-sac-photo.html,27.99,Genesis
FT_009484,Genesis Gear camera strap 150x4cm model 01,5901698720711,DI1272,https://www.foto24.com/correa-genesis-azul-amarillo-y-marron.html,https://www.photo24.fr/sangle-genesis-bleue-jaune-et-marron.html,18.99,Genesis
FT_009490,Genesis Gear camera strap 150x4cm model 07,5901698720773,DI1275,https://www.foto24.com/correa-genesis-marron.html,https://www.photo24.fr/sangle-genesis-marron.html,20.99,Genesis
FT_009485,Genesis Gear camera strap 150x4cm model 02,5901698720728,DI1277,https://www.foto24.com/correa-genesis-blanca-y-negra.html,https://www.photo24.fr/sangle-genesis-noir-et-blanc.html,18.99,Genesis
FT_009489,Genesis Gear camera strap 150x4cm model 06,5901698720766,DI1281,https://www.foto24.com/correa-genesis-gris.html,https://www.photo24.fr/sangle-genesis-grise.html,20.99,Genesis
